well,id,well-id,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
A01,31,A01-31,iRFP,9,30.93390805,73.7910628,57.05698006,52.04121864,14.68182471,19.7488107,15.63862378,15.82068266,0.474619136,0.267631471,0.274087829,0.304002925
A01,32,A01-32,iRFP,1,58.24338624,NA,NA,NA,16.97240278,NA,NA,NA,0.291404808,NA,NA,NA
A01,33,A01-33,iRFP,9,64.67430025,107.4352774,93.22983257,83.87540453,16.9049363,22.193152,18.17278374,18.98787751,0.261385685,0.206572297,0.194924556,0.226381948
A01,35,A01-35,iRFP,7,37.07804878,74.58123953,69.91003911,61.46658098,15.81011581,22.42804649,20.65418983,19.52757036,0.426400966,0.30071968,0.295439541,0.317694104
A01,36,A01-36,iRFP,1,69.61075269,NA,NA,NA,18.57461247,NA,NA,NA,0.266835392,NA,NA,NA
A01,37,A01-37,iRFP,2,45.69633508,91.94285714,NA,NA,15.27400478,20.40790163,NA,NA,0.334250105,0.221962883,NA,NA
A01,38,A01-38,iRFP,9,59.05277778,97.09477124,92.1617284,81.73380448,16.85081578,20.21075651,16.52218163,18.35752253,0.285351789,0.208154942,0.179273782,0.224601346
A01,39,A01-39,iRFP,3,39.1305483,73.65217391,64.13938053,NA,15.49374274,18.67957805,15.29996667,NA,0.395950055,0.253618828,0.238542476,NA
A01,4,A01-4,iRFP,4,72.67624811,114.9704434,103.1009174,95.31964056,16.94632967,20.66586422,16.99504512,20.14674692,0.233175626,0.179749365,0.164838932,0.211359871
A01,40,A01-40,iRFP,9,21.60348584,63.42347526,46.8827907,39.62621359,14.34858851,18.65988236,15.00378965,15.30978151,0.664179319,0.294210973,0.320027657,0.386354893
A01,41,A01-41,iRFP,1,52.86065574,NA,NA,NA,15.5993111,NA,NA,NA,0.295102489,NA,NA,NA
A01,43,A01-43,iRFP,2,48.84153005,85.19343066,NA,NA,16.30287185,20.61223046,NA,NA,0.333791178,0.241946243,NA,NA
A01,44,A01-44,iRFP,5,54.67399267,106.6794872,92.82824427,80.28368794,16.61523037,20.72437781,15.57685587,17.11136914,0.303896415,0.194267692,0.167802978,0.213136312
A01,45,A01-45,iRFP,2,35.63760218,90.75427873,NA,NA,16.06431226,21.23674936,NA,NA,0.450768606,0.234002734,NA,NA
A01,46,A01-46,iRFP,9,47.96677741,107.5154185,73.51793722,64.51968504,16.3399992,20.86253477,15.28645437,16.03099871,0.340652428,0.19404226,0.207928227,0.248466785
A01,47,A01-47,iRFP,9,49.80615385,76.35883424,79.50068399,73.60429836,16.04827215,20.09360199,17.33001278,21.87792662,0.322214644,0.26314705,0.217985707,0.297237079
A01,48,A01-48,iRFP,2,47.80813953,89.99801587,NA,NA,15.88890731,23.31227783,NA,NA,0.332347326,0.25903102,NA,NA
A01,49,A01-49,iRFP,3,38.94791667,72.24889868,68.42940039,NA,15.82765455,18.925362,15.62772131,NA,0.406380004,0.26194672,0.228377294,NA
A01,5,A01-5,iRFP,8,64.15325248,99.80053015,109.1555407,98.34631804,18.29507311,29.85654856,39.02081502,40.13096383,0.285177639,0.299162224,0.357479014,0.408057613
A01,50,A01-50,iRFP,7,29.81424936,68.14349776,68.64414414,62.6075388,15.20223636,19.60603093,15.4267942,16.52757787,0.509898343,0.287716827,0.224735764,0.263987024
