well,id,well-id,well-id,puncta,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
C12,44,C12-44,C12-44,0,ubqln2-P506T-?UBL,1,89.34633028,NA,NA,NA,31.61888531,NA,NA,NA,0.353891259,NA,NA,NA
C12,5,C12-5,C12-5,0,ubqln2-P506T-?UBL,3,90.91271057,94.4852459,58.90977444,NA,38.386166,48.70036131,14.79049616,NA,0.422231014,0.515428212,0.251070324,NA
C12,54,C12-54,C12-54,0,ubqln2-P506T-?UBL,1,122.5297806,NA,NA,NA,25.80220563,NA,NA,NA,0.210579057,NA,NA,NA
C12,6,C12-6,C12-6,0,ubqln2-P506T-?UBL,1,83.35559006,NA,NA,NA,21.30164786,NA,NA,NA,0.255551521,NA,NA,NA
C12,62,C12-62,C12-62,0,ubqln2-P506T-?UBL,1,90.3974359,NA,NA,NA,25.76886401,NA,NA,NA,0.285061891,NA,NA,NA
C12,63,C12-63,C12-63,0,ubqln2-P506T-?UBL,1,90.41225627,NA,NA,NA,40.88931272,NA,NA,NA,0.45225409,NA,NA,NA
C12,65,C12-65,C12-65,0,ubqln2-P506T-?UBL,2,83.14478114,117.8204698,NA,NA,30.28177294,86.64273042,NA,NA,0.364205336,0.735379265,NA,NA
C12,7,C12-7,C12-7,0,ubqln2-P506T-?UBL,1,65.18273092,NA,NA,NA,19.31915271,NA,NA,NA,0.296384525,NA,NA,NA
C12,71,C12-71,C12-71,0,ubqln2-P506T-?UBL,1,88.29102167,NA,NA,NA,37.02357395,NA,NA,NA,0.419335661,NA,NA,NA
C12,77,C12-77,C12-77,0,ubqln2-P506T-?UBL,1,88.13709677,NA,NA,NA,16.84719498,NA,NA,NA,0.191147605,NA,NA,NA
C12,78,C12-78,C12-78,0,ubqln2-P506T-?UBL,9,72.36727273,102.9028007,117.4480519,110.6763006,22.24049586,76.89999995,95.21575242,110.3296132,0.307328092,0.747307162,0.810705251,0.996867555
C12,79,C12-79,C12-79,0,ubqln2-P506T-?UBL,1,88.96347032,NA,NA,NA,27.12710718,NA,NA,NA,0.304924112,NA,NA,NA
